,completionTime,LocomotionTechnique,SubjectNr
0,249.863,Hip,2
1,261.84153000000003,Hip,1
2,172.17613,Hip,10
3,204.145111,Hip,12
4,240.5908,Hip,14
5,299.5881,Hip,18
6,211.9341,Hip,16
7,403.6454,Hip,11
8,194.96045,Hip,17
9,280.22095,Hip,13
10,229.7402,Hip,19
11,214.8846,Hip,15
12,420.81779,Hip,22
13,260.1331,Hip,9
14,189.08756,Hip,21
15,336.7983,Hip,20
16,160.15716,Hip,5
17,267.35138000000006,Hip,6
18,273.1155,Hip,8
19,411.2509,StandingFootVelocity,1
20,286.64252,StandingFootVelocity,2
21,180.89387000000002,StandingFootVelocity,12
22,324.5325,StandingFootVelocity,13
23,242.1797,StandingFootVelocity,10
24,226.9492,StandingFootVelocity,14
25,262.925,StandingFootVelocity,11
26,267.2567,StandingFootVelocity,19
27,253.88599000000002,StandingFootVelocity,20
28,222.2164,StandingFootVelocity,15
29,255.2614,StandingFootVelocity,6
30,206.4043,StandingFootVelocity,16
31,197.0343,StandingFootVelocity,5
32,197.8882,StandingFootVelocity,18
33,277.07957999999996,StandingFootVelocity,22
34,161.739755,StandingFootVelocity,17
35,159.81046999999998,StandingFootVelocity,21
36,223.376,StandingFootVelocity,9
37,320.8875,StandingFootVelocity,8
38,211.559,StandingFootVelocity,7
39,346.42923999999994,AverageShoes,1
40,238.8862,AverageShoes,2
41,159.15442199999998,AverageShoes,10
42,234.6392,AverageShoes,14
43,260.69178,AverageShoes,13
44,184.87875400000001,AverageShoes,12
45,212.7548,AverageShoes,15
46,231.5054,AverageShoes,18
47,267.5415,AverageShoes,7
48,215.2224,AverageShoes,21
49,244.07122000000004,AverageShoes,20
50,239.0262,AverageShoes,19
51,200.713992,AverageShoes,17
52,270.58410000000003,AverageShoes,6
53,181.1048,AverageShoes,16
54,184.006,AverageShoes,5
55,248.57033,AverageShoes,22
56,383.7372,AverageShoes,8
57,204.4079,AverageShoes,9
58,246.9403,Head,1
59,203.06282000000002,Head,2
60,348.6801,Head,12
61,235.1008,Head,11
62,253.0722,Head,14
63,161.211676,Head,13
64,183.35046,Head,17
65,192.736649,Head,10
66,306.9295,Head,15
67,140.35669000000001,Head,21
68,162.9005,Head,18
69,264.7103,Head,6
70,227.93747,Head,20
71,283.5903,Head,8
72,194.01,Head,7
73,222.2856,Head,5
74,301.3986,Head,9
75,217.5238,Head,19
76,272.78986,Head,22
